阿公店,A kong tiàm
耳空重,hī khang tāng
耳環,hī khuân
耳鏡,hī kiànn
耳扒仔,hī pê á
耳屎,hī sái
耳珠,hī tsu
耳甕仔,hī àng á
恨,hīn
倖,hīng
幸,hīng
杏,hīng
荇,hīng
莧,hīng
行,hīng
貺,hīng
幸福,hīng hok
杏仁,hīng jîn
杏仁茶,hīng jîn tê
杏仁,hīng lîn
杏仁茶,hīng lîn tê
莧菜,hīng tshài
幸運,hīng ūn
硯,hīnn
耳,hīnn
耳鉤,hīnn kau
耳空,hīnn khang
耳空輕,hīnn khang khin
耳空鬼仔,hīnn khang kuí á
耳空重,hīnn khang tāng
耳環,hīnn khuân
耳機,hīnn ki
耳鏡,hīnn kiànn
耳扒仔,hīnn pê á
耳屎,hīnn sái
耳珠,hīnn tsu
耳甕仔,hīnn àng á
耳仔,hīnn á
和,hō
昊,hō
浩,hō
皓,hō
禍,hō
號,hō
賀,hō
號碼,hō bé
號外,hō guā
賀卡,hō khah
號名,hō miâ
號頭,hō thâu
號做,hō tsuè
號做,hō tsò
俸,hōng
奉,hōng
鳳,hōng
奉獻,hōng hiàn
鳳凰,hōng hông
鳳凰木,hōng hông bo̍k
奉勸,hōng khǹg
奉送,hōng sàng
奉待,hōng thāi
奉茶,hōng tê
予,hōo
互,hōo
厚,hōo
后,hōo
後,hōo
戶,hōo
滬,hōo
皓,hōo
護,hōo
雨,hōo
戶外,hōo guā
護膚,hōo hu
護法,hōo huat
互惠,hōo huī
護航,hōo hâng
予伊,hōo i
雨衣,hōo i
戶口,hōo kháu
戶口名,hōo kháu miâ
戶口抄本,hōo kháu tshau pún
雨來天,hōo lâi thinn
護欄,hōo lân
護理,hōo lí
護龍,hōo lîng
戶名,hōo miâ
雨毛仔,hōo mn̂g á
雨幔,hōo mua
雨撇仔,hōo phiat á
護盤,hōo puânn
互補,hōo póo
雨衫,hōo sann
雨霎仔,hōo sap á
護身符,hōo sin hû
互相,hōo siong
雨傘,hōo suànn
雨傘節,hōo suànn tsat
互信,hōo sìn
戶數,hōo sòo
護士,hōo sū
戶頭,hōo thâu
護照,hōo tsiàu
戶籍,hōo tsi̍k
雨水,hōo tsuí
戶政,hōo tsìng
互助,hōo tsōo
戶橂,hōo tīng
互動,hōo tōng
雨鞋,hōo uê
後衛,hōo uē
後裔,hōo è
雨鞋,hōo ê
傅,hū
婦,hū
父,hū
腐,hū
負,hū
附,hū
父母,hū bió
負面,hū bīn
父兄,hū hing
婦人人,hū jîn lâng
婦女,hū lí
婦人人,hū lîn lâng
父老,hū ló
婦女,hū lú
婦產科,hū sán kho
負擔,hū tam
負責,hū tsik
負債,hū tsè
份,hūn
分,hūn
恨,hūn
昏,hūn
混,hūn
昏迷,hūn bê
份額,hūn gia̍h
混合,hūn ha̍p
昏去,hūn khì
份量,hūn liōng
混亂,hūn luān
份子,hūn tsú
昏倒,hūn tó
伊,i
依,i
衣,i
遺,i
醫,i
醫學,i ha̍k
依法,i huat
依附,i hù
醫護,i hōo
醫藥,i io̍h
醫界,i kài
依據,i kì
依據,i kù
醫療,i liâu
依賴,i nāi
醫生,i sing
醫生館,i sing kuán
醫師,i su
醫術,i su̍t
依照,i tsiàu
醫治,i tī
依倚,i uá
埃,ia
搤,iah
益,iah
抑無,iah bô
搤空,iah khang
閹,iam
陰,iam
閹雞,iam ke
醃缸,iam kng
閹雞,iam kue
咽,ian
嫣,ian
淵,ian
煙,ian
胭,ian
軒,ian
鵪,ian
煙霧,ian bū
淵源,ian guân
煙火,ian hué
煙火,ian hé
煙暈,ian n̄g
煙黗,ian thûn
煙腸,ian tshiân
胭脂,ian tsi
煙筒,ian tâng
煙筒管,ian tâng kóng
煙仔魚,ian á hî
煙仔魚,ian á hû
央,iang
秧,iang
央教,iang kah
央三託四,iang sann thok sì
央倩,iang tshiànn
纓,iann
揜,iap
揜尾狗,iap bué káu
揜尾狗,iap bé káu
揜貼,iap thiap
逸,iat
妖,iau
枵,iau
腰,iau
要,iau
邀,iau
妖孽,iau gia̍t
邀約,iau iok
枵飢失頓,iau ki sit tǹg
妖嬌,iau kiau
要求,iau kiû
妖怪,iau kuài
枵過飢,iau kuè ki
枵鬼,iau kuí
枵飽吵,iau pá tshá
妖術,iau su̍t
枵饞,iau sâi
枵燥,iau sò
邀請,iau tshiánn
妖精,iau tsiann
邀集,iau tsi̍p
妖道,iau tō
喓,iaunn
役,ia̍h
抑,ia̍h
易,ia̍h
疫,ia̍h
蛾,ia̍h
蝶,ia̍h
頁,ia̍h
驛,ia̍h
抑是,ia̍h sī
蛾仔,ia̍h á
葉,ia̍p
悅,ia̍t
擛,ia̍t
閱,ia̍t
擛風,ia̍t hong
擛手,ia̍t tshiú
億,ik
憶,ik
溢,ik
益,ik
臆,ik
溢奶,ik ling
溢奶,ik ni
溢刺酸,ik tshiah sng
益處,ik tshù
淹,im
陰,im
音,im
陰謀,im biô
陰謀,im bôo
音樂,im ga̍k
音樂聲,im ga̍k siann
音響,im hióng
音符,im hû
陰魂,im hûn
音效,im hāu
陰影,im iánn
陰陽,im iông
陰間,im kan
音量,im liōng
陰曆,im li̍k
陰桮,im pue
音色,im sik
淹死,im sí
陰鴆,im thim
陰德,im tik
音調,im tiāu
音質,im tsit
淹水,im tsuí
淹大水,im tuā tsuí
陰地,im tuē
陰地,im tē
陰暗,im àm
因,in
姻,in
恩,in
殷,in
絪,in
茵,in
因緣,in iân
姻緣,in iân
因果,in kó
因素,in sòo
因此,in tshú
因端,in tuann
因為,in uī
因應,in ìng
坱,ing
嬰,ing
應,ing
櫻,ing
瑛,ing
癰,ing
纓,ing
英,ing
鶯,ing
鷹,ing
鸚,ing
英雄,ing hiông
櫻花,ing hue
坱埃,ing ia
應該,ing kai
應該然,ing kai jiân
應該然,ing kai liân
鸚哥,ing ko
鸚哥鼻,ing ko phīnn
鷹架,ing kè
英里,ing lí
英鎊,ing pōng
櫻桃,ing thô
應當,ing tong
英尺,ing tshioh
英吋,ing tshùn
英才,ing tsâi
癰仔,ing á
鷹仔目,ing á ba̍k
嚶,inn
纓,inn
纓纏,inn tînn
嬰仔,inn á
么,io
歐,io
育,io
腰,io
邀,io
育囡仔,io gín á
育囡仔歌,io gín á kua
育囝,io kiánn
腰骨,io kut
腰內肉,io lāi bah
腰痠背疼,io sng puē thiànn
腰桶,io tháng
腰尺,io tshioh
育𤆬,io tshuā
育飼,io tshī
腰脊骨,io tsiah kut
腰子,io tsí
腰子病,io tsí pēnn
腰子病,io tsí pīnn
腰帶,io tuà
唷,ioh
臆,ioh
臆出出,ioh tshut tshut
約,iok
約會,iok huē
約束,iok sok
約診,iok tsín
約談,iok tâm
約定,iok tīng
央,iong
殃,iong
泱,iong
秧,iong
鴦,iong
央教,iong kah
央倩,iong tshiànn
藥,io̍h
鑰,io̍h
藥物,io̍h bu̍t
藥方,io̍h hng
藥粉,io̍h hún
藥效,io̍h hāu
藥局,io̍h kio̍k
藥膏,io̍h ko
藥鈷仔,io̍h kóo á
藥包,io̍h pau
藥粕,io̍h phoh
藥片,io̍h phìnn
藥品,io̍h phín
藥房,io̍h pâng
藥師,io̍h su
藥洗,io̍h sué
藥洗,io̍h sé
藥丹,io̍h tan
藥頭,io̍h thâu
藥頭仔,io̍h thâu á
藥劑,io̍h tse
藥渣,io̍h tse
藥廠,io̍h tshiúnn
藥草,io̍h tsháu
藥酒,io̍h tsiú
藥水,io̍h tsuí
藥水布,io̍h tsuí pòo
藥材,io̍h tsâi
藥劑師,io̍h tsè su
藥單,io̍h tuann
藥茶,io̍h tê
藥櫥,io̍h tû
藥丸,io̍h uân
藥仔,io̍h á
慾,io̍k
昱,io̍k
欲,io̍k
浴,io̍k
籲,io̍k
育,io̍k
藥,io̍k
躍,io̍k
鑰,io̍k
慾望,io̍k bōng
欲望,io̍k bōng
育幼院,io̍k iù īnn
挹,ip
邑,ip
挹墓粿,ip bōng kué
挹墓粿,ip bōo ké
一,it
乙,it
一模一樣,it bôo it iūnn
一向,it hiòng
一概,it khài
一貫,it kuàn
一粒一,it lia̍p it
一連串,it liân tshuàn
一流,it liû
一律,it lu̍t
一來,it lâi
一片,it phiàn
一必一中,it pit it tiòng
一般,it puann
一心一意,it sim it ì
一生,it sing
一體,it thé
一直,it ti̍t
一刀兩斷,it to lióng tuān
一切,it tshè
一再,it tsài
一旦,it tàn
一致,it tì
一定,it tīng
優,iu
幽,iu
悠,iu
憂,iu
猶,iu
優美,iu bí
憂悶,iu būn
猶原,iu guân
優惠,iu huī
幽幽仔疼,iu iu á thiànn
憂結結,iu kat kat
優良,iu liông
優雅,iu ngá
幽雅,iu ngá
優先,iu sian
憂傷,iu siong
優秀,iu siù
優選,iu suán
優勢,iu sè
優勝,iu sìng
憂頭結面,iu thâu kat bīn
憂頭苦面,iu thâu khóo bīn
優待,iu thāi
優點,iu tiám
憂愁,iu tshiû
優質,iu tsit
優越,iu ua̍t
優異,iu ī
鴦,iunn
厭,ià
厭𤺪,ià siān
厭,iàn
宴,iàn
燕,iàn
宴會,iàn huē
厭氣,iàn khì
燕窩,iàn o
宴請,iàn tshiánn
要,iàu
要件,iàu kiānn
要緊,iàu kín
要領,iàu líng
要素,iàu sòo
要點,iàu tiám
要道,iàu tō
冶,iá
野,iá
野蠻,iá bân
野馬,iá bé
野味,iá bī
野外,iá guā
野牛,iá gû
野花,iá hue
野雞仔車,iá ke á tshia
野球,iá kiû
野雞仔車,iá kue á tshia
野狼,iá lông
野心,iá sim
野生,iá sing
野獸,iá siù
野性,iá sìng
野餐,iá tshan
野台戲,iá tâi hì
掩,iám
掩護,iám hōo
偃,ián
演,ián
衍,ián
演藝,ián gē
演義,ián gī
演化,ián huà
演戲,ián hì
演技,ián ki
演講,ián káng
演練,ián liān
演變,ián piàn
衍生,ián sing
演習,ián si̍p
演說,ián suat
演唱,ián tshiùnn
演出,ián tshut
演奏,ián tsàu
演進,ián tsìn
偃倒,ián tó
演員,ián uân
養女,iáng lí
影,iánn
影目,iánn ba̍k
影迷,iánn bê
影戲,iánn hì
影音,iánn im
影片,iánn phìnn
影本,iánn pún
影視,iánn sī
影展,iánn tián
影星,iánn tshenn
影星,iánn tshinn
影跡,iánn tsiah
影集,iánn tsi̍p
影帶,iánn tuà
影壇,iánn tuânn
影印,iánn ìn
夭,iáu
猶,iáu
窈,iáu
猶未,iáu buē
猶未,iáu bē
猶閣,iáu koh
猶閣咧,iáu koh teh
猶毋過,iáu m̄ koh
夭壽,iáu siū
夭壽短命,iáu siū té miā
夭壽仔,iáu siū á
猶是,iáu sī
夭折,iáu tsiat
猶有,iáu ū
椰,iâ
爺,iâ
耶,iâ
椰子,iâ tsí
鹽,iâm
鹽花仔,iâm hue á
鹽份,iâm hūn
鹽酸,iâm sng
鹽桑仔,iâm sng á
鹽酸仔,iâm sng á
鹽埕,iâm tiânn
鹽水,iâm tsuí
鹽甕仔,iâm àng á
延,iân
沿,iân
筵,iân
緣,iân
芫,iân
蝝,iân
鉛,iân
延誤,iân gōo
沿岸,iân huānn
沿海,iân hái
緣份,iân hūn
緣金,iân kim
鉛球,iân kiû
延期,iân kî
緣故,iân kòo
鉛管,iân kóng
沿路,iân lōo
鉛鉼,iân phiánn
鉛筆,iân pit
鉛筆剾,iân pit khau
鉛筆絞仔,iân pit ká á
延伸,iân sin
延燒,iân sio
延續,iân sio̍k
芫荽,iân suinn
沿線,iân suànn
鉛線,iân suànn
鉛桶,iân tháng
延長,iân tn̂g
延延,iân tshiân
鉛子,iân tsí
緣投,iân tâu
延遲,iân tî
沿途,iân tôo
延後,iân āu
營,iânn
贏,iânn
贏面,iânn bīn
贏球,iânn kiû
營隊,iânn tuī
姚,iâu
搖,iâu
謠,iâu
遙,iâu
謠言,iâu giân
遙控,iâu khòng
遙遠,iâu uán
映,iòng
應公仔,iòng kong á
扷,ió
仰,ióng
勇,ióng
擁,ióng
氧,ióng
湧,ióng
癢,ióng
踴,ióng
鞅,ióng
養,ióng
氧化,ióng huà
擁護,ióng hōo
養份,ióng hūn
踴躍,ióng io̍k
養育,ióng io̍k
勇氣,ióng khì
勇健,ióng kiānn
勇敢,ióng kám
養老,ióng ló
養生,ióng sing
養神,ióng sîn
養成,ióng sîng
勇士,ióng sū
養飼,ióng tshī
勇者,ióng tsiá
養子,ióng tsú
養的,ióng ê
姚,iô
搖,iô
窯,iô
搖尾,iô bué
搖尾,iô bé
搖鼓瑯,iô kóo long
搖笱,iô kô
搖櫓,iô lóo
搖籃,iô nâ
搖頭,iô thâu
搖手,iô tshiú
容,iông
庸,iông
揚,iông
楊,iông
榕,iông
洋,iông
溶,iông
煬,iông
熔,iông
瘍,iông
羊,iông
蓉,iông
融,iông
陽,iông
融合,iông ha̍p
融券,iông kuàn
陽曆,iông li̍k
容貌,iông māu
陽春,iông tshun
容積,iông tsik
容積率,iông tsik lu̍t
融資,iông tsu
容允,iông ín
容允,iông ún
容易,iông ī
幼,iù
幼貨,iù huè
幼貨,iù hè
幼兒,iù jî
幼齒,iù khí
幼囝,iù kiánn
幼骨,iù kut
幼教,iù kàu
幼兒,iù lî
幼路,iù lōo
幼麵麵,iù mī mī
幼聲,iù siann
幼秀,iù siù
幼稚,iù tī
幼稚園,iù tī hn̂g
友,iú
有,iú
誘,iú
酉,iú
誘惑,iú hi̍k
有孝,iú hàu
有形,iú hîng
有限,iú hān
誘因,iú in
有機,iú ki
有關,iú kuan
有利,iú lī
友邦,iú pang
友善,iú siān
有線,iú suànn
有史以來,iú sú í lâi
有志,iú tsì
友情,iú tsîng
友的,iú ê
有意,iú ì
舀,iúnn
養,iúnn
養母,iúnn bú
舀肥,iúnn puî
養爸,iúnn pē
舀水,iúnn tsuí
尤,iû
油,iû
游,iû
猶,iû
由,iû
遊,iû
郵,iû
游牧,iû bo̍k
遊民,iû bîn
遊學,iû ha̍k
油魚,iû hî
遊行,iû hîng
油魚,iû hû
油煙,iû ian
遊客,iû kheh
郵局,iû kio̍k
郵件,iû kiānn
油罐車,iû kuàn tshia
油垢,iû káu
油價,iû kè
尤其,iû kî
郵購,iû kòo
油肭肭,iû leh leh
遊樂,iû lo̍k
遊覽,iû lám
遊覽車,iû lám tshia
由來,iû lâi
遊輪,iû lûn
油漏仔,iû lāu á
油門,iû mn̂g
郵票,iû phiò
郵便局,iû piān kio̍k
油飯,iû pn̄g
遊說,iû suè
油洗洗,iû sué sué
油洗洗,iû sé sé
油性,iû sìng
油抽,iû thiu
油渣,iû tse
郵差,iû tshai
油蔥,iû tshang
油蔥粿,iû tshang kué
油蔥粿,iû tshang ké
油漆,iû tshat
油車,iû tshia
油車間,iû tshia king
油臊,iû tsho
油菜,iû tshài
油菜花,iû tshài hue
油脂,iû tsi
油炸粿,iû tsia̍h kué
郵資,iû tsu
油紙,iû tsuá
油水,iû tsuí
郵政,iû tsìng
由在,iû tsāi
油滓,iû tái
郵筒,iû tâng
油桐花,iû tâng hue
油筒仔,iû tâng á
油畫,iû uē
游泳,iû íng
楊,iûnn
洋,iûnn
溶,iûnn
熔,iûnn
羊,iûnn
鎔,iûnn
陽,iûnn
羊肉,iûnn bah
羊母,iûnn bó
洋服,iûnn ho̍k
羊眩,iûnn hîn
羊角豆仔,iûnn kak tāu á
羊犅,iûnn káng
洋樓,iûnn lâu
羊毛,iûnn mn̂g
羊毛衫,iûnn mn̂g sann
洋蔥,iûnn tshang
洋裝,iûnn tsong
楊桃,iûnn tô
羊仔,iûnn á
羊仔目,iûnn á ba̍k
也,iā
夜,iā
掖,iā
也好,iā hó
夜間,iā kan
夜間部,iā kan pōo
夜勤,iā khîn
夜勤,iā khûn
夜景,iā kíng
掖秧仔,iā ng á
夜婆,iā pô
夜色,iā sik
也是,iā sī
夜市,iā tshī
掖種,iā tsíng
夜總會,iā tsóng huē
蝶仔,iā á
炎,iām
焰,iām
燄,iām
豔,iām
炎熱,iām jua̍h
炎熱,iām lua̍h
豔色,iām sik
偝,iāng
煬,iāng
焱,iānn
颺,iānn
颺颺飛,iānn iānn pue
耀,iāu
喲,iō
樣,iōng
用,iōng
用語,iōng gí
用語,iōng gú
用法,iōng huat
用戶,iōng hōo
用功,iōng kong
用具,iōng kū
用來,iōng lâi
用品,iōng phín
用心,iōng sim
用地,iōng tuē
用途,iōng tôo
用地,iōng tē
用意,iōng ì
佑,iū
又,iū
右,iū
宥,iū
柚,iū
祐,iū
又閣,iū koh
柚仔,iū á
樣,iūnn
樣式,iūnn sik
亦,i̍k
劃,i̍k
域,i̍k
役,i̍k
扼,i̍k
易,i̍k
浴,i̍k
液,i̍k
疫,i̍k
翼,i̍k
腋,i̍k
譯,i̍k
逸,i̍k
驛,i̍k
疫苗,i̍k biâu
易經,i̍k king
浴間仔,i̍k king á
役男,i̍k lâm
浴桶,i̍k tháng
液體,i̍k thé
浴場,i̍k tiûnn
譯者,i̍k tsiá
疫情,i̍k tsîng
逸,i̍t
遮,jia
遮風,jia hong
遮雨,jia hōo
遮日,jia ji̍t
遮瞞,jia muâ
遮閘,jia tsa̍h
跡,jiah
廿,jia̍p
廿一,jia̍p it
熱,jia̍t
熱舞,jia̍t bú
熱火,jia̍t hué
熱烈,jia̍t lia̍t
熱量,jia̍t liōng
熱戀,jia̍t luân
熱門,jia̍t mn̂g
熱心,jia̍t sim
熱線,jia̍t suànn
熱嗽,jia̍t sàu
熱誠,jia̍t sîng
熱潮,jia̍t tiâu
熱毒,jia̍t to̍k
熱切,jia̍t tshiat
熱情,jia̍t tsîng
熱帶,jia̍t tài
熱度,jia̍t tōo
熱愛,jia̍t ài
逐,jik
弱,jio̍k
搙,jio̍k
肉,jio̍k
若,jio̍k
褥,jio̍k
辱,jio̍k
肉桂,jio̍k kuì
弱勢,jio̍k sè
弱點,jio̍k tiám
弱者,jio̍k tsiá
抓,jiàu
繞境,jiàu kíng
抓耙仔,jiàu pê á
惹,jiá
惹事,jiá sū
惹代誌,jiá tāi tsì
染,jiám
嚷,jiáng
擾,jiáu
爪,jiáu
擾亂,jiáu luān
爪仔,jiáu á
苒,jiâm
然,jiân
燃,jiân
燃料,jiân liāu
然後,jiân āu
皺,jiâu
蟯,jiâu
饒,jiâu
鱙,jiâu
皺痕,jiâu hûn
饒命,jiâu miā
皺襞襞,jiâu phé phé
饒赦,jiâu sià
鱙仔魚,jiâu á hî
瓤,jiông
絨,jiông
茸,jiông
絨仔布,jiông á pòo
揉,jiû
柔,jiû
榆,jiû
鰇,jiû
柔美,jiû bí
鰇魚,jiû hî
鰇魚羹,jiû hî kenn
鰇魚鬚,jiû hî tshiu
柔軟,jiû nńg
柔情,jiû tsîng
柔道,jiû tō
尿,jiō
尿桸,jiō hia
尿帕仔,jiō phè á
尿桶,jiō tháng
尿苴仔,jiō tsū á
尿苴仔𩛩,jiō tsū á kauh
尿滓,jiō tái
尿斗,jiō táu
尿道,jiō tō
尿壺,jiō ôo
讓,jiōng
釀,jiōng
讓渡,jiōng tōo
入,ji̍p
入木,ji̍p bo̍k
入獄,ji̍p ga̍k
入會,ji̍p huē
入口,ji̍p kháu
入去,ji̍p khì
入教,ji̍p kàu
入境,ji̍p kíng
入股,ji̍p kóo
入殮,ji̍p liām
入來,ji̍p lâi
入門,ji̍p mn̂g
入伍,ji̍p ngóo
入耳,ji̍p ní
入學,ji̍p o̍h
入聲,ji̍p siann
入心,ji̍p sim
入選,ji̍p suán
入土,ji̍p thóo
入場,ji̍p tiûnn
入侵,ji̍p tshim
入厝,ji̍p tshù
入主,ji̍p tsú
入圍,ji̍p uî
入院,ji̍p īnn
日,ji̍t
日月蚶,ji̍t gua̍t ham
日月蟶,ji̍t gua̍t than
日夜,ji̍t iā
日間,ji̍t kan
日光燈,ji̍t kong ting
日記,ji̍t kì
日期,ji̍t kî
日常,ji̍t siông
日時,ji̍t sî
日時仔,ji̍t sî á
日頭,ji̍t thâu
日頭花,ji̍t thâu hue
日出,ji̍t tshut
日誌,ji̍t tsì
日子,ji̍t tsí
日程,ji̍t tîng
日後,ji̍t āu
熱,jua̍h
挼,juê
熱人,juā lâng
熱天,juā thinn
熱著,juā tio̍h
叡,juē
銳,juē
吉,jì
吉普,jì puh
乳,jí
子,jí
忍,jím
忍耐,jím nāi
忍心,jím sim
忍受,jím siū
忍者,jím tsiá
兒,jî
猊,jî
而,jî
而且,jî tshiánn
任,jîm
壬,jîm
撏,jîm
人,jîn
仁,jîn
人物,jîn bu̍t
人民,jîn bîn
人文,jîn bûn
人望,jîn bōng
仁義,jîn gī
人和,jîn hô
仁仁仁,jîn jîn jîn
人間,jîn kan
人家,jîn ke
人家厝仔,jîn ke tshù á
人格,jîn keh
人權,jîn khuân
人口,jîn kháu
人氣,jîn khì
人群,jîn kûn
人力,jîn li̍k
人類,jîn luī
人倫,jîn lûn
人馬,jîn má
人參,jîn sim
人心,jîn sim
人身,jîn sin
人生,jîn sing
人壽,jîn siū
人選,jîn suán
人世,jîn sè
人性,jîn sìng
人數,jîn sòo
人事,jîn sū
人士,jîn sū
仁丹,jîn tan
人體,jîn thé
人中,jîn tiong
人潮,jîn tiâu
人次,jîn tshù
人質,jîn tsit
人種,jîn tsióng
人際,jîn tsè
人情,jîn tsîng
人情世事,jîn tsîng sè sū
仁慈,jîn tsû
人造,jîn tsō
人道,jîn tō
人員,jîn uân
人為,jîn uî
仁愛,jîn ài
愈,jú
乳名,jú miâ
俞,jû
儒,jû
如,jû
愉,jû
挐,jû
渝,jû
瑜,jû
蠕,jû
如夫人,jû hu jîn
如何,jû hô
如今,jû kim
如果,jû kó
挐氅氅,jû tsháng tsháng
如此,jû tshú
如此如此,jû tshú jû tshú
如同,jû tông
如意,jû ì
二,jī
字,jī
揤,jī
膩,jī
貳,jī
餌,jī
字母,jī bú
字幕,jī bōo
字眼,jī gán
字型,jī hîng
字號,jī hō
二氧化碳,jī ióng huà thuànn
字樣,jī iūnn
字據,jī kì
膩瓤,jī nn̂g
二房,jī pâng
字爿,jī pîng
二步七仔,jī pōo tshit á
字姓,jī sènn
字體,jī thé
字典,jī tián
二手,jī tshiú
二手貨,jī tshiú huè
字紙,jī tsuá
字紙籠,jī tsuá láng
二指,jī tsáinn
字劃,jī ue̍h
字勻,jī ûn
字運,jī ūn
任,jīm
任命,jīm bīng
任務,jīm bū
任何,jīm hô
任期,jīm kî
任內,jīm lāi
任職,jīm tsit
任意,jīm ì
認,jīn
認捌,jīn bat
認份,jīn hūn
認養,jīn ióng
認路,jīn lōo
認命,jīn miā
認領,jīn niá
認輸,jīn su
認知,jīn ti
認錯,jīn tshò
認真,jīn tsin
認罪,jīn tsuē
認證,jīn tsìng
認同,jīn tông
認定,jīn tīng
認為,jīn uî
喻,jū
裕,jū
諭,jū
潤,jūn
閏,jūn
韌命,jūn miā
交,ka
佳,ka
傀,ka
加,ka
咖,ka
咳,ka
嘉,ka
家,ka
枷,ka
瞌,ka
膠,ka
茄,ka
茭,ka
虼,ka
袈,ka
鉸,ka
鮫,ka
鵁,ka
茄茉菜,ka bua̍h tshài
加盟,ka bîng
加網魚,ka bāng hî
加網魚,ka bāng hû
家務,ka bū
家鄉,ka hiong
家園,ka hn̂g
加分,ka hun
嘉惠,ka huī
家扶,ka hû
加護,ka hōo
交易,ka ia̍h
佳音,ka im
加油,ka iû
加油站,ka iû tsām
家用,ka iōng
加入,ka ji̍p
佳人,ka jîn
家禽,ka khîm
加強,ka kiông
家教,ka kàu
家境,ka kíng
佳期,ka kî
家己,ka kī
家己人,ka kī lâng
家具,ka kū
加轆仔,ka lak á
嘉鱲,ka la̍h
交落,ka la̍uh
交落身,ka la̍uh sin
交落枕,ka la̍uh tsím
加入,ka li̍p
傀儡,ka lé
傀儡戲,ka lé hì
咖哩,ka lí
咖哩嗹囉,ka lí liân lô
佳人,ka lîn
茭荖仔,ka ló á
交懍恂,ka lún sún
鵁鴒,ka līng
家門,ka mn̂g
加班,ka pan
家譜,ka phóo
咖啡,ka pi
咖啡色,ka pi sik
嘉賓,ka pin
加倍,ka puē
家屬,ka sio̍k
加上,ka siōng
加速,ka sok
咳嗽,ka sàu
家產,ka sán
家事,ka sū
茄苳,ka tang
加擔,ka tann
加添,ka thiam
家長,ka tiúnn
家電,ka tiān
鉸刀,ka to
鉸刀爿,ka to pîng
加車,ka tshia
鉸剪,ka tsián
嘉獎,ka tsióng
佳作,ka tsok
家族,ka tso̍k
虼蚻,ka tsua̍h
加鵻,ka tsui
佳哉,ka tsài
虼蚤,ka tsáu
加薦仔,ka tsì á
家庭,ka tîng
䘥,kah
佮,kah
合,kah
柙,kah
甲,kah
胛,kah
蓋,kah
較,kah
鴿,kah
甲馬,kah bé
甲箬笠,kah ha̍h le̍h
蓋被,kah phuē
蓋被,kah phē
甲板,kah pán
胛心肉,kah sim bah
佮喙,kah tshuì
甲子,kah tsí
䘥仔,kah á
佮意,kah ì
偕,kai
皆,kai
該,kai
階,kai
該然,kai jiân
階級,kai kip
該然,kai liân
該死,kai sí
該當,kai tong
階層,kai tsân
階段,kai tuānn
喈,kainn
埆,kak
桷,kak
菊,kak
覺,kak
角,kak
鵤,kak
角齒,kak khí
角鼓,kak kóo
覺悟,kak ngōo
角蜂,kak phang
角色,kak sik
角勢,kak sì
角頭,kak thâu
覺醒,kak tshénn
覺醒,kak tshínn
角度,kak tōo
桷仔,kak á
柑,kam
甘,kam
疳,kam
監,kam
魽,kam
甘願,kam guān
監禁,kam kìm
甘心,kam sim
甘甜,kam tinn
疳瘡,kam tshng
甘草,kam tshó
疳積,kam tsik
甘蔗,kam tsià
甘蔗粕,kam tsià phoh
柑仔,kam á
柑仔蜜,kam á bi̍t
柑仔色,kam á sik
乾,kan
奸,kan
姦,kan
干,kan
杆,kan
橄,kan
矸,kan
肝,kan
艱,kan
間,kan
干休,kan hiu
奸險,kan hiám
奸雄,kan hiông
干擾,kan jiáu
干干仔,kan kan á
奸巧,kan khiáu
艱苦,kan khóo
艱苦人,kan khóo lâng
艱苦罪過,kan khóo tsē kuà
奸詭,kan kuí
干擾,kan liáu
干樂,kan lo̍k
艱難,kan lân
干焦,kan na
橄欖,kan ná
乾杯,kan pue
干貝,kan puè
干涉,kan sia̍p
奸細,kan suè
奸細,kan sè
奸臣,kan sîn
姦情,kan tsîng
矸仔,kan á
乾仔孫,kan á sun
公,kang
功,kang
崗,kang
工,kang
江,kang
蚣,kang
公母,kang bó
工業,kang gia̍p
工藝,kang gē
功夫,kang hu
工夫,kang hu
工會,kang huē
工期,kang kî
工具,kang kū
工寮,kang liâu
工人,kang lâng
江山,kang san
工商,kang siong
工商界,kang siong kài
工事,kang sū
工讀生,kang tho̍k sing
工頭,kang thâu
工場,kang tiûnn
工廠,kang tshiúnn
工作,kang tsok
工資,kang tsu
工錢,kang tsînn
工地,kang tuē
工程,kang tîng
工程師,kang tîng su
工地,kang tē
工仔,kang á
公的,kang ê
江湖,kang ôo
橄,kann
監,kann
監獄,kann ga̍k
監牢,kann lô
監囚,kann siû
佮,kap
合,kap
敆,kap
甲,kap
蓋,kap
蛤,kap
鴿,kap
敆痕,kap hûn
敆藥仔,kap io̍h á
佮股,kap kóo
敆縫,kap phāng
合作,kap tsoh
敆作,kap tsoh
敆逝,kap tsuā
蛤仔,kap á
割,kat
墼,kat
結,kat
葛,kat
結綵,kat tshái
交,kau
勾,kau
溝,kau
蛟,kau
郊,kau
鉤,kau
高,kau
郊外,kau guā
交響樂,kau hióng ga̍k
交響曲,kau hióng khik
交貨,kau huè
交會,kau huē
交貨,kau hè
交付,kau hù
鉤耳,kau hī
鉤耳,kau hīnn
交友,kau iú
郊遊,kau iû
交易,kau i̍k
郊區,kau khu
交結,kau kiat
勾結,kau kiat
交割,kau kuah
交關,kau kuan
蛟龍,kau liông
交流,kau liû
交繃,kau penn
交繃,kau pinn
交陪,kau puê
交保,kau pó
交涉,kau sia̍p
